geoid_o,geoid_d,lng_o,lat_o,lng_d,lat_d,date,visitor_flows,pop_flows
6,20,-119.6638459,37.21530826,-98.3801554,38.48472707,01/01/2019,834,14983
6,21,-119.6638459,37.21530826,-85.29055223,37.52661417,01/01/2019,492,8838
6,22,-119.6638459,37.21530826,-91.81423318,30.9090729,01/01/2019,1838,33020
6,23,-119.6638459,37.21530826,-69.20275986,45.27432853,01/01/2019,117,2101
6,24,-119.6638459,37.21530826,-76.68717734,38.94649396,01/01/2019,1291,23193
6,25,-119.6638459,37.21530826,-71.50397204,42.16009327,01/01/2019,1508,27091
6,26,-119.6638459,37.21530826,-85.73095291,44.8747736,01/01/2019,1604,28816
6,27,-119.6638459,37.21530826,-94.1983056,46.34911038,01/01/2019,1261,22654
6,28,-119.6638459,37.21530826,-89.65335941,32.71289227,01/01/2019,449,8066
6,29,-119.6638459,37.21530826,-92.4774252,38.36763044,01/01/2019,1654,29714
6,30,-119.6638459,37.21530826,-109.645207,47.03342111,01/01/2019,873,15683
6,31,-119.6638459,37.21530826,-99.81085586,41.52715113,01/01/2019,491,8820
6,32,-119.6638459,37.21530826,-116.6552487,39.35618587,01/01/2019,38907,698978
6,33,-119.6638459,37.21530826,-71.57124317,43.68023706,01/01/2019,200,3593
6,34,-119.6638459,37.21530826,-74.65561231,40.11017985,01/01/2019,2137,38392
6,35,-119.6638459,37.21530826,-106.1084439,34.42130099,01/01/2019,2182,39200
6,36,-119.6638459,37.21530826,-75.59654322,42.92123355,01/01/2019,7570,135997
6,37,-119.6638459,37.21530826,-79.13090892,35.52603039,01/01/2019,1671,30020
6,38,-119.6638459,37.21530826,-100.4693908,47.44631042,01/01/2019,99,1778
6,39,-119.6638459,37.21530826,-82.70937701,40.41548691,01/01/2019,1815,32607
6,40,-119.6638459,37.21530826,-97.50822793,35.58346465,01/01/2019,1142,20516
6,41,-119.6638459,37.21530826,-120.6052563,43.94045139,01/01/2019,6301,113199
6,42,-119.6638459,37.21530826,-77.83893801,40.89670051,01/01/2019,2034,36541
6,44,-119.6638459,37.21530826,-71.52472356,41.5946389,01/01/2019,147,2640
6,45,-119.6638459,37.21530826,-80.86459716,33.87785607,01/01/2019,771,13851
6,46,-119.6638459,37.21530826,-100.2304655,44.43613759,01/01/2019,121,2173
6,47,-119.6638459,37.21530826,-86.34341233,35.84298014,01/01/2019,1543,27720
6,48,-119.6638459,37.21530826,-99.31712097,31.44721219,01/01/2019,12697,228106
6,49,-119.6638459,37.21530826,-111.67825,39.32376871,01/01/2019,6839,122865
6,50,-119.6638459,37.21530826,-72.66263037,44.07524823,01/01/2019,114,2048
6,51,-119.6638459,37.21530826,-78.66634949,37.5108731,01/01/2019,2275,40871
6,53,-119.6638459,37.21530826,-120.5928999,47.41163922,01/01/2019,7463,134075
6,54,-119.6638459,37.21530826,-80.6137069,38.6425671,01/01/2019,114,2048
