"geoid_o","geoid_d","lng_o","lat_o","lng_d","lat_d","date","visitor_flows","pop_flows","date_range"
"Connecticut","Nevada","-72.73825767764087","41.57516414989576","-116.65524866805762","39.35618587303088","2021-01-21","18","379.0",""
"Connecticut","New Hampshire","-72.73825767764087","41.57516414989576","-71.57124316745634","43.6802370603039","2021-01-21","273","5748.0",""
"Connecticut","New Jersey","-72.73825767764087","41.57516414989576","-74.65561230865505","40.11017985292258","2021-01-21","626","13181.0",""
"Connecticut","New Mexico","-72.73825767764087","41.57516414989576","-106.1084438818861","34.42130099474041","2021-01-21","13","273.0",""
"Connecticut","New York","-72.73825767764087","41.57516414989576","-75.59654322164518","42.92123354806042","2021-01-21","5605","118020.0",""
"Connecticut","North Carolina","-72.73825767764087","41.57516414989576","-79.13090891837648","35.52603039243236","2021-01-21","331","6969.0",""
"Connecticut","Ohio","-72.73825767764087","41.57516414989576","-82.70937700691621","40.415486910016135","2021-01-21","163","3432.0",""
"Connecticut","Oklahoma","-72.73825767764087","41.57516414989576","-97.50822793037422","35.583464652524235","2021-01-21","15","315.0",""
"Connecticut","Oregon","-72.73825767764087","41.57516414989576","-120.605256310199","43.94045138675371","2021-01-21","13","273.0",""
"Connecticut","Pennsylvania","-72.73825767764087","41.57516414989576","-77.83893800628347","40.896700506452106","2021-01-21","429","9033.0",""
"Connecticut","Rhode Island","-72.73825767764087","41.57516414989576","-71.52472355562169","41.59463889844585","2021-01-21","2378","50071.0",""
"Connecticut","South Carolina","-72.73825767764087","41.57516414989576","-80.86459715523999","33.87785606967731","2021-01-21","310","6527.0",""
"Connecticut","Tennessee","-72.73825767764087","41.57516414989576","-86.34341233023729","35.84298014361061","2021-01-21","116","2442.0",""
"Connecticut","Texas","-72.73825767764087","41.57516414989576","-99.3171209695712","31.447212191842507","2021-01-21","216","4548.0",""
"Connecticut","Utah","-72.73825767764087","41.57516414989576","-111.67824995489636","39.32376871301901","2021-01-21","52","1094.0",""
"Connecticut","Vermont","-72.73825767764087","41.57516414989576","-72.66263037415419","44.07524823317805","2021-01-21","346","7285.0",""
"Connecticut","Virginia","-72.73825767764087","41.57516414989576","-78.66634949421768","37.510873096830124","2021-01-21","346","7285.0",""
"Connecticut","Washington","-72.73825767764087","41.57516414989576","-120.59289987466929","47.41163921872467","2021-01-21","28","589.0",""
"Connecticut","West Virginia","-72.73825767764087","41.57516414989576","-80.61370689717069","38.64256709677395","2021-01-21","33","694.0",""
"Connecticut","Wisconsin","-72.73825767764087","41.57516414989576","-89.73293305821664","44.63994410730462","2021-01-21","42","884.0",""
"Connecticut","Wyoming","-72.73825767764087","41.57516414989576","-107.55139421018254","42.9995374625361","2021-01-21","7","147.0",""
"Connecticut","Puerto Rico","-72.73825767764087","41.57516414989576","-66.41466678397286","18.21569833731172","2021-01-21","48","1010.0",""
